 Schema  |         Name          | Type  |     Owner
---------+-----------------------+-------+---------------
 winners | abonos                | table | postgres
 winners | actiroth              | table | postgres
 winners | actividad             | table | postgres
 winners | actoetap              | table | postgres
 winners | actores               | table | postgres
 winners | adicfact              | table | postgres
 winners | afjp                  | table | postgres
 winners | agenda                | table | postgres
 winners | alertas               | table | postgres
 winners | algastos              | table | postgres
 winners | algrugastos           | table | postgres
 winners | alpuertos             | table | postgres
 winners | archivosini           | table | postgres
 winners | areas                 | table | postgres
 winners | asticabe              | table | postgres
 winners | asticcos              | table | postgres
 winners | astideta              | table | postgres
 winners | atricateml            | table | postgres
 winners | atrimaeml             | table | postgres
 winners | auditbtb              | table | postgres
 winners | auditneg              | table | postgres
 winners | autorizantes          | table | postgres
 winners | banccabe              | table | postgres
 winners | bancos                | table | postgres
 winners | besadaporc            | table | postgres
 winners | bl_contdeta           | table | postgres
 winners | bl_infcont            | table | postgres
 winners | bl_m_ctacte           | table | postgres
 winners | bl_m_valor            | table | postgres
 winners | blockestado           | table | postgres
 winners | cabecomp              | table | postgres
 winners | cabecupo              | table | postgres
 winners | cabedeta              | table | postgres
 winners | cabedocu              | table | postgres
 winners | cabeetap              | table | postgres
 winners | cabeexpo              | table | postgres
 winners | cabefare              | table | postgres
 winners | cabefor               | table | postgres
 winners | cabejuris             | table | postgres
 winners | cabeprca              | table | postgres
 winners | cabepreve             | table | postgres
 winners | cabeprod              | table | postgres
 winners | cabeprpa              | table | postgres
 winners | caberese              | table | postgres
 winners | caberesi              | table | postgres
 winners | cabetext              | table | postgres
 winners | cabeunid              | table | postgres
 winners | cai                   | table | postgres
 winners | camiones              | table | postgres
 winners | cashcabe              | table | postgres
 winners | cashdeta              | table | postgres
 winners | cencon                | table | postgres
 winners | censue                | table | postgres
 winners | certserv              | table | postgres
 winners | cheqcabe              | table | postgres
 winners | cheqdeta              | table | postgres
 winners | citidato              | table | postgres
 winners | citiiva               | table | postgres
 winners | cliente_sucursales    | table | desarrollador
 winners | clientes              | table | desarrollador
 winners | cliroth               | table | postgres
 winners | codemis               | table | postgres
 winners | codlsd                | table | postgres
 winners | coefic                | table | postgres
 winners | compblock             | table | postgres
 winners | complega              | table | postgres
 winners | conf1361              | table | postgres
 winners | confafa               | table | postgres
 winners | confagenda            | table | postgres
 winners | confalertas           | table | postgres
 winners | confaudit             | table | postgres
 winners | confauto              | table | postgres
 winners | confbackuplocal       | table | postgres
